TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:6532554577	AT4G39960	AT4G39960.2	protein_coding	Molecular chaperone Hsp40/DnaJ family protein;(source:Araport11)		 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein refolding, response to heat, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:2063787	AT2G03440	AT2G03440.1	protein_coding	Induced at the transcriptional level by Pseudomonas syringae pv. tomato infection.	ATNRP1; NODULIN-RELATED PROTEIN 1; NRP1	 cultured plant cell, abscisic acid-activated signaling pathway, cultured plant cell, cytosol, fruit abscission zone, guard cell, leaf lamina vein, mitochondrion, molecular function unknown, regulation of abscisic acid biosynthetic process, response to bacterium, response to cold, response to heat, response to salt stress, root tip, rosette leaf, shoot apex, stamen, stigma	true
Gene:2081377	AT3G44110	AT3G44110.1	protein_coding	homologous to the co-chaperon DNAJ protein from E coli	ATJ; ATJ3; DNAJ HOMOLOGUE 3; J3	 cell wall, cytoplasm, cytosol, nucleolus, plasma membrane, plasmodesma, cultured plant cell, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell wall, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleolus, petal, petal differentiation and expansion stage, petiole, photoperiodism, flowering, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, pollen tube cell, positive regulation of flower development, protein folding, regulation of ATPase activity, response to heat, response to salt stress, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:6532557893	AT5G42020	AT5G42020.3	protein_coding	Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.		 ATP binding, ATPase activity, NOT Golgi apparatus, NOT cytosol, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, cultured plant cell, cytoplasm, endoplasmic reticulum, endoplasmic reticulum chaperone complex, endoplasmic reticulum lumen, endoplasmic reticulum unfolded protein response, fruit, guard cell, heat shock protein binding, juvenile vascular leaf, mediator complex, membrane, misfolded protein binding, nucleolus, nucleus, plant callus, plasma membrane, plasmodesma, plastid, polar nucleus fusion, pollen, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to endoplasmic reticulum stress, response to heat, response to unfolded protein, rosette leaf, secretory vesicle, seed, seed development stage, seedling development stage, ubiquitin-dependent ERAD pathway, unfolded protein binding, vacuolar membrane, vacuole, vascular leaf	true
Gene:2010712	AT1G56410	AT1G56410.1	protein_coding	encodes a heat shock protein whose gene expression is induced by heat and dehydration.	EARLY-RESPONSIVE TO DEHYDRATION 2; ERD2; HEAT SHOCK PROTEIN 70T-1; HSP70T-1	 chloroplast, chloroplast envelope, response to cadmium ion, cotyledon, cultured plant cell, ATP binding, ATPase activity, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, cotyledon, cultured plant cell, cytoplasm, cytosol, heat shock protein binding, misfolded protein binding, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to heat, response to unfolded protein, rosette leaf, seed development stage, unfolded protein binding	true
Gene:2064221	AT2G38750	AT2G38750.1	protein_coding	Annexins are a family of calcium dependent membrane binding proteins though to be involved in Golgi mediated secretion. This is one of four annexins identified in Arabidopsis.	ANNAT4; ANNEXIN 4; ATANN4	 chloroplast, plasmodesma, seedling development stage, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium ion binding, calcium-dependent phospholipid binding, cauline leaf, cell surface, chloroplast, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasmodesma, pollen, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to salt stress, response to water deprivation, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2165714	AT5G42020	AT5G42020.1	protein_coding	Luminal binding protein (BiP2) involved in polar nuclei fusion during proliferation of endosperm nuclei.	BIP; BIP2; LUMINAL BINDING PROTEIN	 Golgi apparatus, cell wall, chloroplast, cytosol, nucleolus, nucleus, plasma membrane, plasmodesma, vacuolar membrane, vacuole, response to cadmium ion, fruit, seed, vascular leaf, juvenile vascular leaf, plant callus, cultured plant cell, seedling development stage, ATP binding, ATPase activity, NOT Golgi apparatus, NOT cytosol, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, cultured plant cell, cytoplasm, endoplasmic reticulum, endoplasmic reticulum chaperone complex, endoplasmic reticulum lumen, endoplasmic reticulum unfolded protein response, fruit, guard cell, heat shock protein binding, juvenile vascular leaf, mediator complex, membrane, misfolded protein binding, nucleolus, nucleus, plant callus, plasma membrane, plasmodesma, plastid, polar nucleus fusion, pollen, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to endoplasmic reticulum stress, response to heat, response to unfolded protein, rosette leaf, secretory vesicle, seed, seed development stage, seedling development stage, ubiquitin-dependent ERAD pathway, unfolded protein binding, vacuolar membrane, vacuole, vascular leaf	true
Gene:1005714618	AT3G44110	AT3G44110.2	protein_coding	homologous to the co-chaperon DNAJ protein from E coli	ATJ; ATJ3; DNAJ HOMOLOGUE 3; J3	 cell wall, cytoplasm, cytosol, nucleolus, plasma membrane, cultured plant cell, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell wall, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleolus, petal, petal differentiation and expansion stage, petiole, photoperiodism, flowering, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, pollen tube cell, positive regulation of flower development, protein folding, regulation of ATPase activity, response to heat, response to salt stress, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:1005715367	AT1G28210	AT1G28210.2	protein_coding	DnaJ homolog AtJ1 (atj)	ATDJB1; ATJ1	 ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chaperone cofactor-dependent protein refolding, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen tube cell, protein folding, protein refolding, response to heat, root, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf	true
Gene:2034375	AT1G20440	AT1G20440.1	protein_coding	Belongs to the dehydrin protein family, which contains highly conserved stretches of 7-17 residues that are repetitively scattered in their sequences, the K-, S-, Y- and lysine rich segments. Cold regulated gene, amino acid sequence homology with Group II LEA (late  embryogenesis abundant) proteins. Also responds to osmotic stress, ABA, dehydration and inhibits e.coli growth while overexpressed. COR47 and RAB18 double overexpressor plants are cold tolerant. Regulated by heat shock.	ATCOR47; COLD-REGULATED 47; COR47; RD17	 Golgi apparatus, cytosol, nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT Golgi apparatus, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, cytosol, defense response to fungus, flower, flower pedicel, flowering stage, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, molecular function unknown, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, trichome, vascular leaf, vascular leaf senescent stage	true
Gene:2180921	AT5G15450	AT5G15450.1	protein_coding	Encodes a chloroplast-targeted Hsp101 homologue.  Functions as a molecular chaperone involved in plastid differentiation mediating internal thylakoid membrane formation and conferring thermotolerance to chloroplasts during heat stress.  APG6 is constitutively expressed in the root tips, the organ boundary region, the reproductive tissues of mature plants where plastids exist as proplastids, and slightly in the stems and leaves.  APG6 expression is upregulated in response to heat shock in various organs, but not in response to other abiotic stresses.  Apg6 mutants have a pale-green phenotype.	ALBINO AND PALE GREEN 6; APG6; ATCLPB3; CASEIN LYTIC PROTEINASE B-P; CASEIN LYTIC PROTEINASE B3; CLPB-P; CLPB3	 chloroplast, chloroplast stroma, cytoplasm, plastid stroma, fruit, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast organization, chloroplast stroma, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, plastid stroma, pollen, pollen tube cell, protein metabolic process, protein refolding, response to heat, root, root tip, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot apical meristem, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2181832	AT5G02500	AT5G02500.1	protein_coding	encodes a member of heat shock protein 70 family.	ARABIDOPSIS THALIANA HEAT SHOCK COGNATE PROTEIN 70-1; AT-HSC70-1; ATHSP70-1; HEAT SHOCK COGNATE PROTEIN 70; HEAT SHOCK COGNATE PROTEIN 70-1; HEAT SHOCK PROTEIN 70-1; HSC70; HSC70-1; HSP70-1	 Golgi apparatus, cell wall, chloroplast, cytosol, nucleolus, nucleus, plasma membrane, plasmodesma, vacuolar membrane, response to cadmium ion, apoplast, fruit, seed, vascular leaf, juvenile vascular leaf, cultured plant cell, seedling development stage, cytosolic ribosome, ATP binding, ATPase activity, Golgi apparatus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, apoplast, carpel, cauline leaf, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, cytosolic ribosome, defense response to bacterium, defense response to fungus, defense response to other organism, flower, flower pedicel, flowering stage, fruit, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mature plant embryo stage, misfolded protein binding, negative regulation of seed germination, nucleolus, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, pollen tube cell, protease binding, protein binding, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to cold, response to heat, response to unfolded protein, response to virus, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, stomatal closure, trichome, unfolded protein binding, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:3711829	AT5G22060	AT5G22060.1	protein_coding	Co-chaperonin similar to E. coli DnaJ	ARABIDOPSIS THALIANA DNAJ HOMOLOGUE 2; ATJ2; DNAJ HOMOLOGUE 2; J2	 cytoplasm, cytosol, plasma membrane, plasmodesma, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, plastid, pollen, pollen tube cell, protein folding, response to heat, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:504953706	AT3G03773	AT3G03773.1	protein_coding	Encodes one of two isoforms of a co-chaperone of HSP90 that is required for root growth, in particular in the maintenance of the root meristem.  It can be phosphorylated in vitro by human and maize CK2.	P23-2	 nucleus, Hsp90 protein binding, chaperone binding, chaperone cofactor-dependent protein refolding, chaperone complex, chaperone-mediated protein complex assembly, chloroplast, cytoplasm, cytosol, guard cell, negative regulation of cytokinin-activated signaling pathway, nucleus, positive regulation of gene expression, protein folding, regulation of auxin polar transport, response to heat, root meristem growth	true
Gene:6532555084	AT3G16920	AT3G16920.2	protein_coding	Encodes a chitinase-like protein expressed predominantly in stems. Mutants accumulate ligning in etiolated hypocotyls.		 LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT response to heat, NOT response to salt stress, anther, carbohydrate metabolic process, carpel, cell wall macromolecule catabolic process, chitin catabolic process, chitinase activity, collective leaf structure, extracellular region, flower, flowering stage, guard cell, gynoecium, hypocotyl, inflorescence meristem, leaf apex, lignin biosynthetic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, plasma membrane, root, sepal, shoot system, stamen, stem, stigma, vascular leaf, xylem	true
Gene:6532558025	AT1G80030	AT1G80030.4	protein_coding	Molecular chaperone Hsp40/DnaJ family protein;(source:Araport11)		 chloroplast, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein folding, protein refolding, response to heat, root, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:2041035	AT2G43130	AT2G43130.1	protein_coding	encodes a protein belonging to the Rab/Ypt family of small GTPases, which are implicated in intracellular vesicular traffic.	ARA-4; ARA4; ARABIDOPSIS RAB GTPASE HOMOLOG A5C; ATRAB11F; ATRABA5C; RABA5C	 cytosol, nucleus, plasma membrane, cultured plant cell, GTP binding, GTPase activity, Golgi stack, Golgi-associated vesicle, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, Rab protein signal transduction, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytosol, endomembrane system, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, inter-Golgi cisterna vesicle-mediated transport, intracellular protein transport, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, response to heat, root, seed, sepal, shoot apex, shoot system, stamen, stem, trans-Golgi network, vascular leaf, vascular leaf senescent stage	true
Gene:2026615	AT1G07890	AT1G07890.1	protein_coding	Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress. The mRNA is cell-to-cell mobile.	APX1; ASCORBATE PEROXIDASE 1; ATAPX01; ATAPX1; CS1; MATERNAL EFFECT EMBRYO ARREST 6; MEE6	 Golgi apparatus, cell wall, chloroplast, chloroplast stroma, cytoplasm, cytosol, plasma membrane, plasmodesma, response to cadmium ion, fruit, cotyledon, root, vascular leaf, cultured plant cell, seedling development stage, pollen, Golgi apparatus, L-ascorbate peroxidase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell wall, cell-to-cell mobile RNA, cellular response to oxidative stress, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, embryo development ending in seed dormancy, extracellular region, flower, flower pedicel, flowering stage, fruit, guard cell, heme binding, hydrogen peroxide catabolic process, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lignin biosynthetic process, mature plant embryo stage, oxidation-reduction process, p-coumarate 3-hydroxylase activity, peroxidase activity, petal, petal differentiation and expansion stage, petiole, phenylpropanoid biosynthetic process, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, pollen tube cell, protein binding, response to cadmium ion, response to heat, response to oxidative stress, response to reactive oxygen species, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, vascular system	true
Gene:2090264	AT3G25230	AT3G25230.1	protein_coding	Encodes a a high molecular weight member of the FK506 binding protein (FKBP) family.  It has three FKBP12-like domains, tetratricopeptide repeats, and a putative calmodulin binding domain. Modulates thermotolerance by interacting with HSP90.1 and affecting the accumulation of HsfA2-regulated sHSPs. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.	ATFKBP62; FK506 BINDING PROTEIN 62; FKBP62; ROF1; ROTAMASE FKBP 1	 cytosol, nucleus, response to cadmium ion, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell periphery, cellular heat acclimation, chaperone-mediated protein folding, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, peptidyl-prolyl cis-trans isomerase activity, petal, petal differentiation and expansion stage, petiole, phosphatidylinositol-3,5-bisphosphate binding, phosphatidylinositol-3-phosphate binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein binding, protein peptidyl-prolyl isomerization, response to cadmium ion, response to heat, response to osmotic stress, response to wounding, root, rosette leaf, seed, seed development stage, seed germination, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2148215	AT5G17020	AT5G17020.1	protein_coding	Encodes a member of the exportin protein family (XPO1A) which functions as receptors for nuclear export. Binds to a variety of proteins having  leucine rich export signals.Along with XPO1B involved with development of the male and female gametophytes.	ARABIDOPSIS THALIANA EXPORTIN 1; ATCRM1; ATXPO1; EXPORTIN 1; EXPORTIN 1A; HEAT-INTOLERANT 2; HIT2; XPO1; XPO1A	 cytosol, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, Ran GTPase binding, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, embryo sac development, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nuclear export signal receptor activity, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, pollen development, pollen germination, pollen tube growth, protein binding, protein export from nucleus, regulation of protein export from nucleus, response to heat, ribosomal large subunit export from nucleus, ribosomal small subunit export from nucleus, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2175437	AT5G04890	AT5G04890.1	protein_coding	Specifically restricts the long-distance movement of tobacco etch potyvirus (TEV) without involving either hypersensitive cell death or systemic acquired resistance. Multidomain protein containing an N-terminal region with high similarity to plant small heat shock proteins (HSPs).	RESTRICTED TEV MOVEMENT 2; RTM2	 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.12 twelve leaves visible stage, NOT heat acclimation, NOT response to heat, carpel, collective leaf structure, flower, flower pedicel, flowering stage, hypocotyl, inflorescence meristem, leaf apex, mature plant embryo stage, molecular function unknown, petal differentiation and expansion stage, plant embryo, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, response to virus, root, seed, sepal, shoot apex, sieve tube element, stamen, transport of virus in host, tissue to tissue, vascular leaf, vascular leaf senescent stage	true
Gene:2207364	AT1G79350	AT1G79350.1	protein_coding	Encodes the Arabidopsis thaliana orthologue of metazoan Strawberry notch, a highly conserved co-activator of the developmental regulator Notch. It mediates stress-induced chromatin memory by modulating nucleosome occupancy by interacting with chromatin remodeling proteins of the ISWI and SWI/SNF classes.	EMB1135; EMBRYO DEFECTIVE 1135; FGT1; FORGETTER 1	 cytosol, nucleus, cultured plant cell, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, chromatin DNA binding, collective leaf structure, cotyledon, cultured plant cell, cytosol, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, heat acclimation, histone binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleosome assembly, nucleosome positioning, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, positive regulation of cellular response to heat, promoter-specific chromatin binding, protein binding, regulation of gene expression, epigenetic, regulation of transcription, DNA-templated, response to heat, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	false
Gene:504953205	AT4G35987	AT4G35987.1	protein_coding	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)	CALMODULIN N-METHYLTRANSFERASE; CAM KMT	 chloroplast, calmodulin-lysine N-methyltransferase activity, chloroplast, gravitropism, guard cell, methylation, regulation of abscisic acid-activated signaling pathway, regulation of auxin mediated signaling pathway, regulation of response to salt stress, regulation of response to water deprivation, regulation of root development, response to abscisic acid, response to auxin, response to cold, response to heat, response to oomycetes, response to osmotic stress, response to salt, response to salt stress, root hair cell development	true
Gene:1009021125	AT1G07890	AT1G07890.4	protein_coding	Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress. The mRNA is cell-to-cell mobile.	APX1; ASCORBATE PEROXIDASE 1; ATAPX01; ATAPX1; CS1; MATERNAL EFFECT EMBRYO ARREST 6; MEE6	 Golgi apparatus, cell wall, chloroplast, cytoplasm, cytosol, plasma membrane, plasmodesma, response to cadmium ion, fruit, cotyledon, root, vascular leaf, cultured plant cell, seedling development stage, pollen, Golgi apparatus, L-ascorbate peroxidase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell wall, cell-to-cell mobile RNA, cellular response to oxidative stress, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, embryo development ending in seed dormancy, extracellular region, flower, flower pedicel, flowering stage, fruit, guard cell, heme binding, hydrogen peroxide catabolic process, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lignin biosynthetic process, mature plant embryo stage, oxidation-reduction process, p-coumarate 3-hydroxylase activity, peroxidase activity, petal, petal differentiation and expansion stage, petiole, phenylpropanoid biosynthetic process, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, pollen tube cell, protein binding, response to cadmium ion, response to heat, response to oxidative stress, response to reactive oxygen species, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, vascular system	true
